id,psd_size_at_d10_mm,psd_size_at_d20_mm,psd_size_at_d30_mm,psd_size_at_d40_mm,psd_size_at_d50_mm,psd_size_at_d60_mm,psd_size_at_d70_mm,psd_size_at_d80_mm,psd_size_at_d90_mm,psd_size_at_d95_mm,psd_size_at_d98_mm,psd_has_sedimentation,psd_passing_at_0_002mm_pct,psd_passing_at_0_063mm_pct,psd_passing_at_2mm_pct,proctor_mdd_g_cm3,proctor_owc_pct,proctor_diam_mm,grain_density_g_cm3,hyd_cond_kf_m_s,hyd_cond_hyd_gradient,atterberg_liquid_limit_pct,atterberg_plastic_limit_pct,loss_on_ignition_pct,clay_pct,silt_pct,sand_pct,gravel_pct,dominant_soil_type
0,0.136773,0.315214,0.547515,0.93393,1.788142,3.313938,7.21401,12.517275,20.160863,25.20054,28.810465,True,0.68,4.48,51.68,2.068,8.06,150,2.65,,,,,,0.68,3.8000000000000003,47.2,48.32,Gravel
8,0.19551,0.42888,0.72635,1.17757,2.2243,4.16393,7.44262,14.38462,29.44681,42.131623,52.233622,False,0.0,0.0,48.33,2.15,7.96,150,2.67,,,,,,0.0,0.0,48.33,51.67,Gravel
10,0.074093,0.273865,0.39213,0.729818,2.439525,5.397719,10.12973,16.931951,25.087087,30.536681,45.345019,False,0.0,9.51,47.69,2.157,8.23,150,2.702,,,,,,0.0,9.51,38.18,52.31,Gravel
14,0.34325,0.57669,0.81966,1.37853,2.99623,4.96322,7.26308,15.37242,30.36286,42.67199,52.338711,False,0.0,0.0,44.79,2.101,6.9,150,2.65,,,,,,0.0,0.0,44.79,55.21,Gravel
27,0.141229,0.284809,0.642959,2.094167,4.38692,8.327496,14.118328,20.055171,26.965356,31.267709,47.047253,True,0.36,4.91,39.39,2.192,7.58,150,2.7,,,,,,0.36,4.55,34.480000000000004,60.61,Gravel
37,0.149854,0.381877,0.883186,1.833354,4.278098,8.331801,12.224687,17.46908,23.457963,27.18319,29.696584,True,2.01,6.96,41.22,2.175,7.47,150,2.66,,,,,,2.01,4.95,34.26,58.78,Gravel
38,0.193494,0.392582,0.713929,1.460804,3.239451,6.877837,11.138874,16.770735,24.220216,29.106567,38.698369,True,0.0,4.75,43.78,2.125,8.29,150,2.65,,,,,,0.0,4.75,39.03,56.22,Gravel
41,0.029989,0.172979,0.520789,0.984213,1.732293,3.628278,7.41975,13.762272,22.542239,28.312906,37.414514,True,1.44,13.98,52.55,2.099,7.7,150,2.65,,,,,,1.44,12.540000000000001,38.56999999999999,47.45,Gravel
44,0.340628,0.850356,2.25301,5.507339,10.022761,15.134178,21.672247,30.779061,44.015107,52.658824,58.639842,False,0.0,2.89,28.73,2.129,7.58,150,2.65,,,,,,0.0,2.89,25.84,71.27,Gravel
46,0.30137,0.423315,0.594604,0.835201,2.354293,6.798811,11.760816,18.167316,25.882943,31.151748,38.66311,False,0.0,1.9,49.2,1.951,6.3,150,2.65,,,,,,0.0,1.9,47.300000000000004,50.8,Gravel
