id,psd_size_at_d10_mm,psd_size_at_d20_mm,psd_size_at_d30_mm,psd_size_at_d40_mm,psd_size_at_d50_mm,psd_size_at_d60_mm,psd_size_at_d70_mm,psd_size_at_d80_mm,psd_size_at_d90_mm,psd_size_at_d95_mm,psd_size_at_d98_mm,psd_has_sedimentation,psd_passing_at_0_002mm_pct,psd_passing_at_0_063mm_pct,psd_passing_at_2mm_pct,proctor_mdd_g_cm3,proctor_owc_pct,proctor_diam_mm,grain_density_g_cm3,hyd_cond_kf_m_s,hyd_cond_hyd_gradient,atterberg_liquid_limit_pct,atterberg_plastic_limit_pct,loss_on_ignition_pct,clay_pct,silt_pct,sand_pct,gravel_pct,dominant_soil_type
1,0.014579,0.06206,0.119258,0.221877,0.42355,1.022249,2.978369,6.081199,10.622063,13.657046,15.879819,True,4.27,20.23,65.49,2.037,10.42,100,2.69,,,,,1.3,4.27,15.96,45.25999999999999,34.510000000000005,Sand
2,0.003243,0.022301,0.087024,0.156595,0.217595,0.323793,0.512853,1.546115,10.921905,19.931186,26.230078,True,8.84,27.19,81.4,2.051,10.94,100,2.722,1.4e-10,30.0,26.45,13.75,,8.84,18.35,54.21000000000001,18.599999999999994,Sand
5,0.019744,0.142683,0.285699,0.353478,0.437337,0.544121,0.683417,0.858374,1.209994,1.615148,1.920746,True,0.0,15.72,98.7,2.056,10.13,100,2.67,5.245e-08,12.51,,,0.7,0.0,15.72,82.98,1.2999999999999972,Sand
6,0.007377,0.068729,0.183111,0.282328,0.381776,0.517847,0.720926,1.008259,2.277577,5.454203,11.328627,False,4.16,19.61,89.16,2.11,8.28,100,2.63,,,,,,4.16,15.45,69.55,10.840000000000003,Sand
7,0.272051,0.350135,0.450631,0.560024,0.679114,0.823528,0.998651,1.385701,1.924588,2.74441,3.516315,False,0.0,1.49,91.17,1.744,9.91,100,2.65,2.72246e-06,30.0,,,,0.0,1.49,89.68,8.829999999999998,Sand
9,0.001398,0.008234,0.022902,0.052877,0.132163,0.215478,0.295641,0.376182,0.478665,0.700775,0.96262,True,11.63,41.87,99.42,1.961,11.13,100,2.65,,,28.3,15.8,2.6,11.63,30.239999999999995,57.550000000000004,0.5799999999999983,Sand
11,0.062131,0.098724,0.156869,0.249261,0.396067,0.629339,1.0,2.115362,3.769146,4.732864,5.369354,False,0.0,10.3,79.0,1.932,11.11,100,2.65,,,,,,0.0,10.3,68.7,21.0,Sand
12,0.178671,0.284356,0.360453,0.456915,0.597076,0.794913,1.13921,2.295216,6.551546,12.411347,20.402187,False,0.0,3.86,78.55,1.923,11.27,100,2.65,0.00013151048,3.75,,,,0.0,3.86,74.69,21.450000000000003,Sand
13,0.289382,0.401422,0.544898,0.707661,0.919044,1.341568,2.089188,3.604314,5.671522,7.037527,8.08237,False,0.0,1.44,69.2,1.884,10.19,100,2.65,2.526513e-05,30.0,,,,0.0,1.44,67.76,30.799999999999997,Sand
15,0.013152,0.067878,0.168313,0.284255,0.403336,0.601016,0.968103,2.263601,5.919468,9.738284,13.11792,True,2.66,19.36,78.68,2.036,10.31,100,2.67,1.727e-08,30.0,,,2.3,2.66,16.7,59.32000000000001,21.319999999999993,Sand
16,0.00195,0.007188,0.016128,0.031243,0.064552,0.141196,0.222843,0.315901,0.431912,0.526532,0.854939,True,10.13,49.73,99.68,1.818,15.97,100,2.67,3.5e-09,30.0,,,3.4,10.13,39.599999999999994,49.95000000000001,0.3199999999999932,Sand
17,0.179204,0.388294,0.656142,1.04081,1.726878,3.461812,7.289474,13.883202,21.506483,26.02795,29.185176,True,0.71,4.02,52.9,2.074,6.38,150,2.65,,,,,,0.71,3.3099999999999996,48.879999999999995,47.1,Sand
18,0.038667,0.253811,0.357957,0.505547,0.74972,1.223061,2.631011,6.357852,14.035809,20.993715,27.039497,False,0.0,11.66,66.57,2.074,8.62,150,2.65,,,,,,0.0,11.66,54.91,33.43000000000001,Sand
19,0.002397,0.007302,0.016432,0.033203,0.073775,0.152855,0.294587,0.667556,2.746702,6.129475,10.693073,True,8.96,47.94,87.89,1.887,14.11,100,2.65,4.4e-10,30.0,34.32,19.29,3.5,8.96,38.98,39.95,12.11,Sand
20,0.278723,0.354923,0.451956,0.55395,0.660591,0.787761,0.939412,1.234038,1.709712,2.052215,3.082853,False,0.0,0.57,94.81,1.75,12.77,100,2.65,,,,,,0.0,0.57,94.24000000000001,5.189999999999998,Sand
21,0.002867,0.015123,0.079781,0.193208,0.308621,0.447187,0.663011,0.99276,2.655087,6.991697,14.575309,False,7.86,28.58,88.32,2.06,9.37,100,2.63,6.4e-10,30.0,,,,7.86,20.72,59.739999999999995,11.680000000000007,Sand
22,0.004178,0.02056,0.07578,0.201157,0.390253,0.75722,1.784362,4.304822,8.76895,13.114803,18.50316,True,7.03,28.45,71.19,1.937,11.64,150,2.65,,,35.67,20.66,3.0,7.03,21.419999999999998,42.739999999999995,28.810000000000002,Sand
24,0.047654,0.066362,0.092415,0.126473,0.144485,0.165062,0.188569,0.215424,0.246103,0.340381,0.433731,False,0.0,18.43,99.98,1.807,11.14,100,2.65,,,,,,0.0,18.43,81.55000000000001,0.01999999999999602,Sand
25,0.022747,0.134662,0.305628,0.416124,0.545651,0.677027,0.840035,1.069271,1.515611,1.80442,2.034099,True,0.0,17.67,97.95,2.104,8.91,100,2.66,2.20102e-06,1.98,,,0.6,0.0,17.67,80.28,2.049999999999997,Sand
26,0.002629,0.010768,0.044099,0.144024,0.247838,0.357361,0.516725,0.801281,1.661226,3.957441,9.406881,False,8.1,32.53,91.81,2.065,9.73,100,2.65,5.1e-10,30.25,,,,8.1,24.43,59.28,8.189999999999998,Sand
28,0.142032,0.305941,0.474551,0.654492,0.888452,1.246555,1.785859,2.48347,3.40665,3.989898,6.1815,False,0.0,6.91,73.15,1.994,9.38,100,2.65,0.000104598,30.0,,,1.2,0.0,6.91,66.24000000000001,26.849999999999994,Sand
29,0.280914,0.366362,0.477801,0.58858,0.71656,0.872368,1.099317,1.497998,2.088978,2.904993,3.540559,False,0.0,0.67,89.34,1.746,12.0,100,2.65,0.00049430524,3.75,,,0.3,0.0,0.67,88.67,10.659999999999997,Sand
30,0.17895,0.35254,0.51191,0.68596,0.86,1.10252,1.62672,2.47096,4.58243,6.240378,7.510692,False,0.0,0.0,74.94,1.97,8.49,100,2.65,,,,,,0.0,0.0,74.94,25.060000000000002,Sand
31,0.004157,0.046208,0.099872,0.1533,0.208753,0.281511,0.374479,0.498149,0.972734,2.267215,4.795025,True,6.56,23.04,94.45,2.033,9.49,100,2.65,,,,,1.5,6.56,16.48,71.41,5.549999999999997,Sand
33,0.013521,0.116286,0.271968,0.381952,0.531984,0.717777,0.968457,1.418371,2.173767,3.058465,3.753859,True,1.79,15.42,88.78,1.995,11.57,100,2.67,,,,,,1.79,13.629999999999999,73.36,11.219999999999999,Sand
34,0.352044,0.518915,0.637806,0.783937,0.963548,1.397571,2.125081,3.493996,5.464981,6.771292,7.700541,False,0.0,0.26,68.78,1.887,9.97,100,2.65,,,,,0.5,0.0,0.26,68.52,31.22,Sand
35,0.007235,0.019804,0.031575,0.093011,0.177971,0.271516,0.369477,0.507527,1.358514,3.787466,9.59307,True,4.73,36.85,92.31,1.939,11.22,100,2.65,,,,,2.8,4.73,32.120000000000005,55.46,7.689999999999998,Sand
36,0.12736,0.188038,0.263019,0.317647,0.38362,0.463297,0.632703,0.939133,2.213342,3.81687,8.163151,False,0.0,6.94,89.07,1.898,8.66,100,2.65,1.1718e-07,30.0,,,1.2,0.0,6.94,82.13,10.930000000000007,Sand
39,0.02678,0.06723,0.125733,0.177355,0.25007,0.287601,0.330764,0.380405,0.437496,0.469179,0.48928,True,2.37,18.97,100.0,1.946,11.59,100,2.67,,,,,1.5,2.37,16.599999999999998,81.03,0.0,Sand
40,0.001213,0.010605,0.023241,0.044183,0.114932,0.25289,0.37097,0.569248,1.066763,2.927167,9.001245,True,11.6,44.05,93.89,1.951,11.9,100,2.65,,,,,,11.6,32.449999999999996,49.84,6.109999999999999,Sand
42,0.004866,0.047448,0.1422,0.24847,0.352999,0.500375,0.7281,1.121626,2.708511,6.116544,10.955261,True,6.53,22.02,87.76,1.974,10.91,100,2.63,,,,,2.0,6.53,15.489999999999998,65.74000000000001,12.239999999999995,Sand
