id,psd_size_at_d10_mm,psd_size_at_d20_mm,psd_size_at_d30_mm,psd_size_at_d40_mm,psd_size_at_d50_mm,psd_size_at_d60_mm,psd_size_at_d70_mm,psd_size_at_d80_mm,psd_size_at_d90_mm,psd_size_at_d95_mm,psd_size_at_d98_mm,psd_has_sedimentation,psd_passing_at_0_002mm_pct,psd_passing_at_0_063mm_pct,psd_passing_at_2mm_pct,proctor_mdd_g_cm3,proctor_owc_pct,proctor_diam_mm,grain_density_g_cm3,hyd_cond_kf_m_s,hyd_cond_hyd_gradient,atterberg_liquid_limit_pct,atterberg_plastic_limit_pct,loss_on_ignition_pct,clay_pct,silt_pct,sand_pct,gravel_pct,dominant_soil_type
3,0.000355,0.000859,0.00208,0.004772,0.009031,0.015228,0.025404,0.04192,0.151357,0.367355,0.809442,True,29.56,84.32,99.61,1.648,20.31,100,2.67,1.1e-09,3.0,47.63,22.44,4.3,29.56,54.75999999999999,15.290000000000006,0.39000000000000057,Silt
4,0.00036,0.004868,0.010546,0.015848,0.021282,0.026753,0.03351,0.042328,0.067946,0.203424,0.67814,True,15.09,89.55,99.28,1.82,15.76,100,2.67,,,,,1.7,15.09,74.46,9.730000000000004,0.7199999999999989,Silt
23,0.001823,0.005071,0.009024,0.015581,0.026315,0.043771,0.081646,0.275425,0.568624,1.331392,6.221932,True,10.63,67.48,96.18,1.711,19.3,100,2.67,2.2e-10,30.0,48.6,25.74,5.2,10.63,56.85,28.700000000000003,3.819999999999993,Silt
32,0.001825,0.002395,0.003315,0.005712,0.014379,0.045983,0.166302,0.347948,0.618358,0.96265,1.868337,True,13.37,62.56,98.28,1.771,16.78,100,2.65,1.1e-10,30.0,48.01,23.67,3.9,13.37,49.190000000000005,35.72,1.7199999999999989,Silt
55,0.00248,0.00833,0.01696,0.02567,0.03803,0.06681,0.20456,0.38502,0.76225,1.072518,1.316403,True,8.21,58.96,100.0,1.894,14.06,100,2.67,,,,,,8.21,50.75,41.04,0.0,Silt
59,0.000465,0.001105,0.002627,0.009323,0.021256,0.036595,0.058997,0.104937,0.205229,0.342632,0.578682,True,26.85,71.28,99.8,1.716,19.23,100,2.66,,,,,4.8,26.85,44.43,28.519999999999996,0.20000000000000284,Silt
64,0.001666,0.005585,0.012001,0.017504,0.023067,0.027539,0.033061,0.040515,0.071526,0.148558,0.400946,True,11.57,89.02,99.43,1.811,15.5,100,2.65,,,27.67,18.56,,11.57,77.44999999999999,10.41000000000001,0.5699999999999932,Silt
70,0.002387,0.004587,0.008815,0.016939,0.03255,0.062549,0.120196,0.252038,0.395659,0.495734,4.50777,False,7.32,60.11,97.39,1.704,15.76,100,2.65,,,,,3.5,7.32,52.79,37.28,2.6099999999999994,Silt
78,0.009325,0.012553,0.017659,0.025677,0.036438,0.060417,0.262387,2.754019,16.881726,23.060233,27.805571,True,0.69,60.41,78.68,1.862,13.36,100,2.65,1.03e-09,30.0,,,,0.69,59.72,18.27000000000001,21.319999999999993,Silt
93,0.001416,0.007535,0.01505,0.022201,0.02867,0.037708,0.056253,0.117149,0.305441,0.629961,1.777229,True,11.81,71.68,98.23,1.881,12.66,100,2.65,2.09e-09,30.0,26.29,18.13,,11.81,59.870000000000005,26.549999999999997,1.769999999999996,Silt
