id,psd_size_at_d10_mm,psd_size_at_d20_mm,psd_size_at_d30_mm,psd_size_at_d40_mm,psd_size_at_d50_mm,psd_size_at_d60_mm,psd_size_at_d70_mm,psd_size_at_d80_mm,psd_size_at_d90_mm,psd_size_at_d95_mm,psd_size_at_d98_mm,psd_has_sedimentation,psd_passing_at_0_002mm_pct,psd_passing_at_0_063mm_pct,psd_passing_at_2mm_pct,proctor_mdd_g_cm3,proctor_owc_pct,proctor_diam_mm,grain_density_g_cm3,hyd_cond_kf_m_s,hyd_cond_hyd_gradient,atterberg_liquid_limit_pct,atterberg_plastic_limit_pct,loss_on_ignition_pct
0,0.136773,0.315214,0.547515,0.93393,1.788142,3.313938,7.21401,12.517275,20.160863,25.20054,28.810465,True,0.68,4.48,51.68,2.068,8.06,150,2.65,,,,,
1,0.014579,0.06206,0.119258,0.221877,0.42355,1.022249,2.978369,6.081199,10.622063,13.657046,15.879819,True,4.27,20.23,65.49,2.037,10.42,100,2.69,,,,,1.3
2,0.003243,0.022301,0.087024,0.156595,0.217595,0.323793,0.512853,1.546115,10.921905,19.931186,26.230078,True,8.84,27.19,81.4,2.051,10.94,100,2.722,1.4e-10,30.0,26.45,13.75,
3,0.000355,0.000859,0.00208,0.004772,0.009031,0.015228,0.025404,0.04192,0.151357,0.367355,0.809442,True,29.56,84.32,99.61,1.648,20.31,100,2.67,1.1e-09,3.0,47.63,22.44,4.3
4,0.00036,0.004868,0.010546,0.015848,0.021282,0.026753,0.03351,0.042328,0.067946,0.203424,0.67814,True,15.09,89.55,99.28,1.82,15.76,100,2.67,,,,,1.7
5,0.019744,0.142683,0.285699,0.353478,0.437337,0.544121,0.683417,0.858374,1.209994,1.615148,1.920746,True,0.0,15.72,98.7,2.056,10.13,100,2.67,5.245e-08,12.51,,,0.7
6,0.007377,0.068729,0.183111,0.282328,0.381776,0.517847,0.720926,1.008259,2.277577,5.454203,11.328627,False,4.16,19.61,89.16,2.11,8.28,100,2.63,,,,,
7,0.272051,0.350135,0.450631,0.560024,0.679114,0.823528,0.998651,1.385701,1.924588,2.74441,3.516315,False,0.0,1.49,91.17,1.744,9.91,100,2.65,2.72246e-06,30.0,,,
8,0.19551,0.42888,0.72635,1.17757,2.2243,4.16393,7.44262,14.38462,29.44681,42.131623,52.233622,False,0.0,0.0,48.33,2.15,7.96,150,2.67,,,,,
9,0.001398,0.008234,0.022902,0.052877,0.132163,0.215478,0.295641,0.376182,0.478665,0.700775,0.96262,True,11.63,41.87,99.42,1.961,11.13,100,2.65,,,28.3,15.8,2.6
10,0.074093,0.273865,0.39213,0.729818,2.439525,5.397719,10.12973,16.931951,25.087087,30.536681,45.345019,False,0.0,9.51,47.69,2.157,8.23,150,2.702,,,,,
11,0.062131,0.098724,0.156869,0.249261,0.396067,0.629339,1.0,2.115362,3.769146,4.732864,5.369354,False,0.0,10.3,79.0,1.932,11.11,100,2.65,,,,,
12,0.178671,0.284356,0.360453,0.456915,0.597076,0.794913,1.13921,2.295216,6.551546,12.411347,20.402187,False,0.0,3.86,78.55,1.923,11.27,100,2.65,0.00013151048,3.75,,,
13,0.289382,0.401422,0.544898,0.707661,0.919044,1.341568,2.089188,3.604314,5.671522,7.037527,8.08237,False,0.0,1.44,69.2,1.884,10.19,100,2.65,2.526513e-05,30.0,,,
14,0.34325,0.57669,0.81966,1.37853,2.99623,4.96322,7.26308,15.37242,30.36286,42.67199,52.338711,False,0.0,0.0,44.79,2.101,6.9,150,2.65,,,,,
15,0.013152,0.067878,0.168313,0.284255,0.403336,0.601016,0.968103,2.263601,5.919468,9.738284,13.11792,True,2.66,19.36,78.68,2.036,10.31,100,2.67,1.727e-08,30.0,,,2.3
16,0.00195,0.007188,0.016128,0.031243,0.064552,0.141196,0.222843,0.315901,0.431912,0.526532,0.854939,True,10.13,49.73,99.68,1.818,15.97,100,2.67,3.5e-09,30.0,,,3.4
17,0.179204,0.388294,0.656142,1.04081,1.726878,3.461812,7.289474,13.883202,21.506483,26.02795,29.185176,True,0.71,4.02,52.9,2.074,6.38,150,2.65,,,,,
18,0.038667,0.253811,0.357957,0.505547,0.74972,1.223061,2.631011,6.357852,14.035809,20.993715,27.039497,False,0.0,11.66,66.57,2.074,8.62,150,2.65,,,,,
19,0.002397,0.007302,0.016432,0.033203,0.073775,0.152855,0.294587,0.667556,2.746702,6.129475,10.693073,True,8.96,47.94,87.89,1.887,14.11,100,2.65,4.4e-10,30.0,34.32,19.29,3.5
20,0.278723,0.354923,0.451956,0.55395,0.660591,0.787761,0.939412,1.234038,1.709712,2.052215,3.082853,False,0.0,0.57,94.81,1.75,12.77,100,2.65,,,,,
21,0.002867,0.015123,0.079781,0.193208,0.308621,0.447187,0.663011,0.99276,2.655087,6.991697,14.575309,False,7.86,28.58,88.32,2.06,9.37,100,2.63,6.4e-10,30.0,,,
22,0.004178,0.02056,0.07578,0.201157,0.390253,0.75722,1.784362,4.304822,8.76895,13.114803,18.50316,True,7.03,28.45,71.19,1.937,11.64,150,2.65,,,35.67,20.66,3.0
23,0.001823,0.005071,0.009024,0.015581,0.026315,0.043771,0.081646,0.275425,0.568624,1.331392,6.221932,True,10.63,67.48,96.18,1.711,19.3,100,2.67,2.2e-10,30.0,48.6,25.74,5.2
24,0.047654,0.066362,0.092415,0.126473,0.144485,0.165062,0.188569,0.215424,0.246103,0.340381,0.433731,False,0.0,18.43,99.98,1.807,11.14,100,2.65,,,,,
25,0.022747,0.134662,0.305628,0.416124,0.545651,0.677027,0.840035,1.069271,1.515611,1.80442,2.034099,True,0.0,17.67,97.95,2.104,8.91,100,2.66,2.20102e-06,1.98,,,0.6
26,0.002629,0.010768,0.044099,0.144024,0.247838,0.357361,0.516725,0.801281,1.661226,3.957441,9.406881,False,8.1,32.53,91.81,2.065,9.73,100,2.65,5.1e-10,30.25,,,
27,0.141229,0.284809,0.642959,2.094167,4.38692,8.327496,14.118328,20.055171,26.965356,31.267709,47.047253,True,0.36,4.91,39.39,2.192,7.58,150,2.7,,,,,
