id,owc_std,mdd_std
201,1.125,0.04
202,1.181,0.0418
203,1.19,0.0408
204,1.171,0.041
205,1.227,0.0452
206,1.208,0.0426
207,1.206,0.0417
208,1.163,0.0403
209,1.127,0.0403
210,1.182,0.0427
211,1.615,0.0599
212,1.191,0.0415
213,1.126,0.0412
214,1.656,0.0554
215,1.312,0.0452
216,1.184,0.0416
217,1.181,0.0443
218,1.171,0.0408
219,1.251,0.0451
220,1.135,0.0407
221,1.275,0.0486
222,1.131,0.0403
223,1.303,0.0488
224,1.204,0.041
225,1.199,0.0431
226,1.249,0.0534
227,1.152,0.0406
228,1.135,0.0407
229,1.23,0.0433
230,1.166,0.0407
231,1.122,0.0405
232,1.187,0.043
233,2.484,0.1177
234,1.132,0.0451
235,1.255,0.0489
236,1.15,0.0426
237,1.3,0.0479
238,1.219,0.043
239,1.216,0.042
240,1.167,0.0422
241,1.202,0.0428
242,1.175,0.042
243,1.245,0.0445
244,1.203,0.0426
245,1.143,0.0411
246,1.149,0.0479
247,1.22,0.0455
248,1.178,0.0417
249,1.449,0.0516
250,1.179,0.0428
251,1.161,0.047
252,1.16,0.0419
253,1.612,0.052
254,1.126,0.0405
255,1.165,0.0417
256,1.127,0.0418
257,1.213,0.0436
258,1.158,0.0413
259,1.149,0.0534
260,1.193,0.0423
261,1.2,0.0533
262,1.176,0.0426
263,1.176,0.0421
264,1.308,0.0498
265,1.187,0.0431
266,1.154,0.0417
267,1.17,0.0417
268,1.183,0.0413
269,1.32,0.0489
270,1.422,0.0567
271,1.127,0.0423
272,1.145,0.0429
273,1.253,0.0435
274,1.198,0.0421
275,1.197,0.043
276,1.163,0.0426
277,1.153,0.0438
278,1.244,0.0502
279,1.278,0.0558
280,1.198,0.0431
281,1.164,0.0424
282,1.168,0.0419
283,1.182,0.0419
284,1.206,0.047
285,1.231,0.0431
286,1.249,0.0437
287,1.204,0.0446
