id,owc_std,mdd_std
201,1.112,0.04
202,1.164,0.0418
203,1.159,0.0408
204,1.152,0.041
205,1.212,0.0452
206,1.198,0.0426
207,1.181,0.0417
208,1.146,0.0403
209,1.113,0.0403
210,1.182,0.0427
211,1.62,0.0599
212,1.171,0.0415
213,1.115,0.0412
214,1.511,0.0554
215,1.29,0.0452
216,1.169,0.0416
217,1.144,0.0443
218,1.159,0.0408
219,1.237,0.0451
220,1.119,0.0407
221,1.246,0.0486
222,1.118,0.0403
223,1.342,0.0488
224,1.17,0.041
225,1.182,0.0431
226,1.238,0.0534
227,1.136,0.0406
228,1.12,0.0407
229,1.21,0.0433
230,1.137,0.0407
231,1.109,0.0405
232,1.172,0.043
233,2.468,0.1177
234,1.161,0.0451
235,1.418,0.0489
236,1.144,0.0426
237,1.299,0.0479
238,1.179,0.043
239,1.199,0.042
240,1.149,0.0422
241,1.183,0.0428
242,1.16,0.042
243,1.243,0.0445
244,1.178,0.0426
245,1.125,0.0411
246,1.132,0.0479
247,1.203,0.0455
248,1.16,0.0417
249,1.404,0.0516
250,1.151,0.0428
251,1.153,0.047
252,1.148,0.0419
253,1.604,0.052
254,1.111,0.0405
255,1.147,0.0417
256,1.116,0.0418
257,1.198,0.0436
258,1.145,0.0413
259,1.135,0.0534
260,1.18,0.0423
261,1.193,0.0533
262,1.169,0.0426
263,1.159,0.0421
264,1.205,0.0498
265,1.173,0.0431
266,1.145,0.0417
267,1.147,0.0417
268,1.164,0.0413
269,1.322,0.0489
270,1.608,0.0567
271,1.117,0.0423
272,1.164,0.0429
273,1.232,0.0435
274,1.173,0.0421
275,1.174,0.043
276,1.148,0.0426
277,1.146,0.0438
278,1.277,0.0502
279,1.445,0.0558
280,1.176,0.0431
281,1.149,0.0424
282,1.153,0.0419
283,1.164,0.0419
284,1.19,0.047
285,1.196,0.0431
286,1.222,0.0437
287,1.187,0.0446
