id,owc_std,mdd_std
201,1.138,0.0399
202,1.19,0.0421
203,1.158,0.0403
204,1.143,0.0404
205,1.223,0.0458
206,1.184,0.0419
207,1.175,0.0414
208,1.173,0.0403
209,1.138,0.0402
210,1.211,0.043
211,1.66,0.0634
212,1.196,0.0421
213,1.14,0.0409
214,1.527,0.0563
215,1.231,0.043
216,1.194,0.0416
217,1.171,0.0441
218,1.186,0.0405
219,1.257,0.0453
220,1.143,0.0403
221,1.219,0.0426
222,1.143,0.0401
223,1.367,0.0498
224,1.181,0.0412
225,1.205,0.0435
226,1.258,0.0558
227,1.162,0.0402
228,1.146,0.0403
229,1.173,0.0417
230,1.157,0.0405
231,1.134,0.04
232,1.171,0.043
233,2.475,0.1166
234,1.189,0.0447
235,1.452,0.0492
236,1.168,0.0423
237,1.3,0.0477
238,1.193,0.0426
239,1.225,0.0416
240,1.174,0.0418
241,1.201,0.0427
242,1.185,0.0419
243,1.239,0.0442
244,1.193,0.0421
245,1.15,0.0407
246,1.157,0.0474
247,1.224,0.0457
248,1.185,0.0417
249,1.445,0.0526
250,1.157,0.0424
251,1.181,0.0459
252,1.173,0.0416
253,1.638,0.0529
254,1.136,0.0399
255,1.172,0.0414
256,1.141,0.0411
257,1.202,0.0429
258,1.166,0.0412
259,1.162,0.0532
260,1.206,0.0419
261,1.228,0.0514
262,1.193,0.0415
263,1.184,0.0414
264,1.235,0.0479
265,1.198,0.0439
266,1.169,0.0407
267,1.166,0.041
268,1.191,0.0403
269,1.3,0.0496
270,1.507,0.0515
271,1.142,0.0412
272,1.192,0.0422
273,1.261,0.0432
274,1.178,0.0414
275,1.199,0.0418
276,1.175,0.0413
277,1.174,0.0427
278,1.305,0.052
279,1.379,0.0543
280,1.193,0.0418
281,1.174,0.0416
282,1.179,0.0409
283,1.188,0.0413
284,1.208,0.0465
285,1.219,0.0427
286,1.24,0.0426
287,1.193,0.0429
