id,owc_std,mdd_std
201,1.256,0.0423
202,1.283,0.0432
203,1.249,0.0422
204,1.255,0.0423
205,1.369,0.0494
206,1.261,0.0434
207,1.251,0.0422
208,1.28,0.043
209,1.257,0.0424
210,1.29,0.0447
211,1.394,0.0492
212,1.388,0.0499
213,1.257,0.0431
214,1.977,0.0792
215,1.268,0.0433
216,1.295,0.0434
217,1.275,0.046
218,1.292,0.0438
219,1.283,0.0448
220,1.261,0.0431
221,1.292,0.0445
222,1.26,0.0429
223,1.404,0.052
224,1.261,0.0428
225,1.325,0.0454
226,1.323,0.0539
227,1.279,0.0432
228,1.261,0.0429
229,1.264,0.0436
230,1.256,0.0426
231,1.253,0.0426
232,1.281,0.0446
233,2.143,0.0955
234,1.267,0.0459
235,1.32,0.0504
236,1.304,0.0444
237,1.38,0.0501
238,1.278,0.0443
239,1.317,0.0449
240,1.359,0.0463
241,1.28,0.0446
242,1.313,0.0455
243,1.296,0.0452
244,1.263,0.0431
245,1.261,0.0435
246,1.273,0.0487
247,1.303,0.0438
248,1.304,0.0442
249,6.238,0.1987
250,1.265,0.0438
251,1.332,0.0479
252,1.314,0.0449
253,5.882,0.1941
254,1.256,0.0421
255,1.28,0.043
256,1.257,0.0431
257,1.303,0.0457
258,1.272,0.0442
259,1.281,0.0517
260,1.409,0.0521
261,1.457,0.0623
262,1.291,0.0442
263,1.313,0.0449
264,1.315,0.0542
265,1.296,0.0454
266,1.325,0.0452
267,1.283,0.0441
268,1.296,0.0429
269,1.403,0.0531
270,1.381,0.0533
271,1.261,0.0434
272,1.284,0.0452
273,1.485,0.0522
274,1.257,0.0427
275,1.29,0.0438
276,1.305,0.0461
277,1.297,0.0454
278,1.357,0.0498
279,1.32,0.0528
280,1.282,0.0439
281,1.317,0.0447
282,1.295,0.0442
283,1.3,0.0441
284,1.297,0.0438
285,1.359,0.0463
286,1.317,0.0464
287,1.264,0.0432
