id,owc_std,mdd_std
201,1.027,0.0415
202,1.071,0.0439
203,1.083,0.0416
204,1.083,0.0418
205,1.101,0.0458
206,1.141,0.043
207,1.143,0.0426
208,1.018,0.0423
209,1.01,0.0416
210,1.06,0.0441
211,1.514,0.0614
212,1.073,0.044
213,1.064,0.0422
214,1.434,0.0556
215,1.202,0.0435
216,1.12,0.0446
217,1.056,0.0429
218,1.015,0.0428
219,1.062,0.0483
220,1.019,0.0416
221,1.393,0.0444
222,1.035,0.0422
223,1.33,0.0522
224,1.032,0.042
225,1.103,0.0447
226,1.396,0.0483
227,1.049,0.0421
228,1.02,0.0421
229,1.173,0.0426
230,1.059,0.0419
231,1.021,0.0417
232,1.129,0.043
233,1.708,0.1107
234,1.094,0.0435
235,1.225,0.0495
236,1.069,0.0434
237,1.124,0.0492
238,1.583,0.0429
239,1.16,0.0469
240,1.043,0.0441
241,1.081,0.044
242,1.07,0.0449
243,1.096,0.0449
244,1.13,0.043
245,1.021,0.0424
246,1.124,0.0432
247,1.122,0.0457
248,1.073,0.044
249,1.551,0.0765
250,1.226,0.0428
251,1.097,0.0459
252,1.113,0.0443
253,1.684,0.0772
254,1.018,0.0419
255,1.059,0.0438
256,1.019,0.0427
257,1.086,0.0446
258,1.045,0.0426
259,1.148,0.0436
260,1.08,0.0447
261,1.105,0.0492
262,1.055,0.0444
263,1.121,0.0454
264,1.257,0.0453
265,1.13,0.0447
266,1.045,0.044
267,1.05,0.0436
268,1.025,0.0433
269,1.201,0.0493
270,1.536,0.0581
271,1.021,0.0429
272,1.103,0.0455
273,1.143,0.0486
274,1.126,0.0432
275,1.071,0.0451
276,1.073,0.0431
277,1.034,0.045
278,1.306,0.0497
279,1.479,0.05
280,1.096,0.0438
281,1.05,0.0442
282,1.039,0.0441
283,1.096,0.0448
284,1.176,0.0464
285,1.117,0.0448
286,1.092,0.0459
287,1.195,0.0438
