id,owc_std,mdd_std
201,0.942,0.0406
202,1.001,0.0429
203,1.097,0.0416
204,1.077,0.041
205,1.078,0.0457
206,1.094,0.0424
207,1.198,0.0419
208,0.938,0.0415
209,0.928,0.0406
210,1.02,0.044
211,1.423,0.0589
212,1.003,0.0437
213,0.943,0.0411
214,1.76,0.0573
215,1.324,0.0434
216,1.057,0.0438
217,1.544,0.0463
218,0.921,0.0421
219,1.102,0.0472
220,0.953,0.0407
221,1.327,0.0436
222,0.942,0.0411
223,1.229,0.0494
224,1.233,0.0426
225,1.139,0.0452
226,1.607,0.0471
227,0.962,0.0411
228,0.944,0.0411
229,1.112,0.0427
230,1.1,0.0422
231,0.927,0.0408
232,1.18,0.0424
233,2.318,0.0907
234,0.969,0.0424
235,1.155,0.0483
236,1.001,0.0427
237,1.162,0.0481
238,2.375,0.0434
239,1.159,0.0465
240,1.024,0.0434
241,1.281,0.0436
242,1.001,0.0445
243,1.136,0.0441
244,1.1,0.0427
245,0.968,0.0415
246,1.027,0.0423
247,1.191,0.0466
248,1.102,0.044
249,1.446,0.0783
250,1.489,0.0422
251,0.994,0.0446
252,0.997,0.0431
253,1.513,0.0782
254,0.934,0.0409
255,0.994,0.0431
256,0.94,0.0417
257,1.096,0.0447
258,1.007,0.0418
259,0.989,0.0427
260,1.066,0.0459
261,1.06,0.048
262,1.0,0.0439
263,1.027,0.0453
264,2.433,0.0484
265,1.066,0.0436
266,0.952,0.0431
267,1.114,0.0436
268,0.915,0.0425
269,1.422,0.0494
270,1.584,0.0561
271,0.922,0.0419
272,1.012,0.0446
273,1.214,0.0481
274,1.089,0.0428
275,1.034,0.0448
276,1.09,0.042
277,0.994,0.0439
278,1.213,0.0479
279,1.357,0.0487
280,1.064,0.0429
281,1.033,0.0443
282,0.952,0.0431
283,1.075,0.0442
284,1.248,0.0457
285,1.067,0.0446
286,1.299,0.0454
287,1.085,0.0433
