id,owc_std,mdd_std,pred_corr_mdd_owc
201,1.129,0.0396,-0.017
202,1.188,0.0423,-0.074
203,1.13,0.0397,-0.02
204,1.132,0.0398,-0.023
205,1.234,0.0444,-0.122
206,1.168,0.0414,-0.054
207,1.159,0.041,-0.046
208,1.147,0.0406,-0.047
209,1.13,0.0397,-0.019
210,1.196,0.0426,-0.079
211,1.584,0.0603,-0.366
212,1.19,0.0425,-0.086
213,1.143,0.0403,-0.03
214,1.485,0.0554,-0.278
215,1.203,0.043,-0.098
216,1.204,0.043,-0.089
217,1.213,0.0433,-0.088
218,1.166,0.0414,-0.067
219,1.27,0.0461,-0.155
220,1.134,0.0399,-0.025
221,1.21,0.0433,-0.101
222,1.136,0.04,-0.025
223,1.386,0.0514,-0.252
224,1.151,0.0407,-0.047
225,1.229,0.0443,-0.128
226,1.377,0.0511,-0.257
227,1.142,0.0403,-0.034
228,1.133,0.0399,-0.026
229,1.153,0.0407,-0.042
230,1.134,0.0399,-0.028
231,1.131,0.0397,-0.021
232,1.173,0.0417,-0.067
233,2.533,0.1021,-0.608
234,1.223,0.0439,-0.112
235,1.416,0.053,-0.29
236,1.175,0.0417,-0.062
237,1.336,0.0492,-0.217
238,1.166,0.0413,-0.059
239,1.22,0.0437,-0.098
240,1.18,0.0418,-0.06
241,1.202,0.0431,-0.103
242,1.19,0.0423,-0.069
243,1.222,0.0439,-0.116
244,1.163,0.0411,-0.046
245,1.137,0.0401,-0.033
246,1.25,0.0447,-0.099
247,1.272,0.0463,-0.171
248,1.18,0.0419,-0.069
249,1.741,0.0678,-0.462
250,1.162,0.0411,-0.052
251,1.237,0.044,-0.072
252,1.188,0.0424,-0.086
253,1.781,0.0691,-0.443
254,1.127,0.0396,-0.018
255,1.172,0.0416,-0.063
256,1.144,0.0403,-0.033
257,1.194,0.0426,-0.083
258,1.153,0.0408,-0.051
259,1.326,0.048,-0.147
260,1.189,0.0424,-0.083
261,1.352,0.0492,-0.172
262,1.166,0.0413,-0.056
263,1.184,0.0421,-0.074
264,1.29,0.0467,-0.149
265,1.212,0.0434,-0.101
266,1.159,0.0409,-0.037
267,1.16,0.041,-0.048
268,1.163,0.0413,-0.064
269,1.311,0.0481,-0.202
270,1.543,0.0584,-0.335
271,1.151,0.0406,-0.042
272,1.195,0.0426,-0.081
273,1.232,0.0441,-0.101
274,1.169,0.0415,-0.058
275,1.172,0.0416,-0.065
276,1.167,0.0414,-0.058
277,1.191,0.0424,-0.072
278,1.358,0.05,-0.215
279,1.409,0.0526,-0.274
280,1.167,0.0412,-0.035
281,1.166,0.0413,-0.049
282,1.164,0.0412,-0.05
283,1.196,0.0428,-0.093
284,1.284,0.0468,-0.181
285,1.215,0.0435,-0.097
286,1.213,0.0434,-0.098
287,1.187,0.0423,-0.079
