id,owc_std,mdd_std
201,1.249,0.0481
202,1.307,0.0505
203,1.363,0.0528
204,1.269,0.0489
205,1.41,0.055
206,1.347,0.0522
207,1.326,0.0514
208,1.278,0.0492
209,1.215,0.0467
210,1.382,0.0537
211,1.636,0.0645
212,1.414,0.055
213,1.343,0.0521
214,1.737,0.0688
215,1.546,0.0606
216,1.349,0.0523
217,1.53,0.06
218,1.298,0.0501
219,1.374,0.0534
220,1.233,0.0474
221,1.395,0.0542
222,1.278,0.0492
223,1.546,0.0607
224,1.362,0.0529
225,1.321,0.0511
226,1.456,0.0568
227,1.315,0.0508
228,1.266,0.0488
229,1.401,0.0544
230,1.336,0.0518
231,1.277,0.0492
232,1.276,0.0492
233,1.86,0.0739
234,1.54,0.0605
235,1.7,0.0673
236,1.454,0.0569
237,1.544,0.0606
238,1.488,0.0582
239,1.4,0.0544
240,1.404,0.0546
241,1.396,0.0543
242,1.446,0.0565
243,1.353,0.0525
244,1.366,0.0529
245,1.285,0.0496
246,1.35,0.0523
247,1.39,0.054
248,1.393,0.0542
249,3.355,0.1374
250,1.361,0.0528
251,1.798,0.0715
252,1.412,0.055
253,2.772,0.1126
254,1.289,0.0497
255,1.331,0.0514
256,1.388,0.0539
257,1.42,0.0554
258,1.278,0.0493
259,1.424,0.0554
260,1.58,0.0621
261,1.861,0.0741
262,1.418,0.0552
263,1.399,0.0544
264,1.83,0.0728
265,1.489,0.0583
266,1.385,0.0537
267,1.381,0.0537
268,1.472,0.0575
269,1.587,0.0625
270,1.73,0.0685
271,1.372,0.0533
272,1.551,0.0609
273,1.558,0.0611
274,1.417,0.0553
275,1.447,0.0565
276,1.638,0.0646
277,1.538,0.0604
278,1.624,0.0639
279,1.549,0.0608
280,1.426,0.0555
281,1.457,0.0569
282,1.416,0.0552
283,1.414,0.0551
284,1.561,0.0614
285,1.473,0.0575
286,1.516,0.0594
287,1.491,0.0583
