id,owc_std,mdd_std
201,1.029,0.0415
202,1.073,0.0439
203,1.086,0.0416
204,1.087,0.0418
205,1.087,0.0458
206,1.143,0.043
207,1.146,0.0426
208,1.021,0.0423
209,1.013,0.0416
210,1.056,0.0441
211,1.491,0.0614
212,1.076,0.044
213,1.067,0.0422
214,1.438,0.0556
215,1.199,0.0435
216,1.125,0.0446
217,1.058,0.0429
218,1.018,0.0428
219,1.064,0.0483
220,1.022,0.0416
221,1.395,0.0444
222,1.036,0.0422
223,1.297,0.0522
224,1.034,0.042
225,1.106,0.0447
226,1.398,0.0483
227,1.052,0.0421
228,1.023,0.0421
229,1.176,0.0426
230,1.062,0.0419
231,1.024,0.0417
232,1.129,0.043
233,1.712,0.1107
234,1.097,0.0435
235,1.208,0.0495
236,1.073,0.0434
237,1.125,0.0492
238,1.583,0.0429
239,1.164,0.0469
240,1.046,0.0441
241,1.083,0.044
242,1.072,0.0449
243,1.086,0.0449
244,1.134,0.043
245,1.023,0.0424
246,1.127,0.0432
247,1.124,0.0457
248,1.076,0.044
249,1.547,0.0765
250,1.23,0.0428
251,1.101,0.0459
252,1.117,0.0443
253,1.681,0.0772
254,1.021,0.0419
255,1.061,0.0438
256,1.022,0.0427
257,1.079,0.0446
258,1.048,0.0426
259,1.151,0.0436
260,1.083,0.0447
261,1.107,0.0492
262,1.058,0.0444
263,1.124,0.0454
264,1.259,0.0453
265,1.133,0.0447
266,1.048,0.044
267,1.052,0.0436
268,1.028,0.0433
269,1.205,0.0493
270,1.537,0.0581
271,1.024,0.0429
272,1.106,0.0455
273,1.147,0.0486
274,1.128,0.0432
275,1.075,0.0451
276,1.075,0.0431
277,1.037,0.045
278,1.31,0.0497
279,1.48,0.05
280,1.099,0.0438
281,1.053,0.0442
282,1.041,0.0441
283,1.099,0.0448
284,1.181,0.0464
285,1.119,0.0448
286,1.095,0.0459
287,1.198,0.0438
